frame,houdini_frame,x,y,z,theta,phi,purity
90,90,-0.511133,0.013497,-0.859396,2.604883,9.398378,1.000000
91,91,-0.437934,-0.034757,-0.898335,2.686761,9.503978,1.000000
92,92,-0.364559,-0.068148,-0.928683,2.761643,9.609578,1.000000
93,93,-0.294597,-0.088040,-0.951557,2.829059,9.715177,1.000000
94,94,-0.230944,-0.096554,-0.968164,2.888586,9.820777,1.000000
95,95,-0.175692,-0.096346,-0.979719,2.939852,9.926377,1.000000
96,96,-0.130076,-0.090371,-0.987377,2.982535,10.031977,1.000000
97,97,-0.094490,-0.081678,-0.992169,3.016367,10.137576,1.000000
98,98,-0.068536,-0.073215,-0.994958,3.041136,10.243176,1.000000
99,99,-0.051106,-0.067675,-0.996398,3.056687,10.348776,1.000000
100,100,-0.040486,-0.067358,-0.996907,3.062923,10.454376,1.000000
101,101,-0.034473,-0.074068,-0.996657,3.059804,10.559975,1.000000
102,102,-0.030493,-0.089026,-0.995562,3.047350,10.665575,1.000000
103,103,-0.025744,-0.112793,-0.993285,3.025639,10.771175,1.000000
104,104,-0.017335,-0.145228,-0.989246,2.994807,10.876775,1.000000
105,105,-0.002448,-0.185449,-0.982651,2.955047,10.982374,1.000000
106,106,0.021483,-0.231833,-0.972518,2.906610,11.087974,1.000000
107,107,0.056588,-0.282052,-0.957729,2.849797,11.193574,1.000000
108,108,0.104370,-0.333149,-0.937080,2.784966,11.299174,1.000000
109,109,0.165526,-0.381678,-0.909353,2.712523,11.404773,1.000000
110,110,0.239787,-0.423895,-0.873393,2.632922,11.510373,1.000000
111,111,0.325823,-0.456009,-0.828188,2.546662,11.615973,1.000000
112,112,0.421206,-0.474472,-0.772957,2.454285,11.721573,1.000000
113,113,0.522467,-0.476292,-0.707230,2.356368,11.827172,1.000000
114,114,0.625262,-0.459343,-0.630914,2.253527,11.932772,1.000000
115,115,0.724623,-0.422623,-0.544345,2.146405,12.038372,1.000000
116,116,0.815312,-0.366444,-0.448314,2.035674,12.143972,1.000000
117,117,0.892225,-0.292508,-0.344056,1.922029,12.249571,1.000000
118,118,0.950817,-0.203852,-0.233218,1.806182,12.355171,1.000000
119,119,0.987507,-0.104670,-0.117789,1.688859,12.460771,1.000000
120,120,1.000000,-0.000000,-0.000000,1.570796,12.566371,1.000000
