frame,houdini_frame,point_id,x,y,z,u,purity,intensity
2,2,26,1.047848,0.167381,0.014008,0.530612,0.975105,0.819884
2,2,27,1.088150,0.173819,0.014546,0.551020,0.975105,0.813914
2,2,28,1.128451,0.180256,0.015085,0.571429,0.975105,0.807944
2,2,29,1.168753,0.186694,0.015624,0.591837,0.975105,0.801974
2,2,30,1.209055,0.193132,0.016163,0.612245,0.975105,0.796004
2,2,31,1.249357,0.199570,0.016702,0.632653,0.975105,0.790034
2,2,32,1.289659,0.206007,0.017240,0.653061,0.975105,0.784064
2,2,33,1.329961,0.212445,0.017779,0.673469,0.975105,0.778094
2,2,34,1.370262,0.218883,0.018318,0.693878,0.975105,0.772124
2,2,35,1.410564,0.225320,0.018857,0.714286,0.975105,0.766154
2,2,36,1.450866,0.231758,0.019395,0.734694,0.975105,0.760184
2,2,37,1.491168,0.238196,0.019934,0.755102,0.975105,0.754214
2,2,38,1.531470,0.244634,0.020473,0.775510,0.975105,0.748244
2,2,39,1.571772,0.251071,0.021012,0.795918,0.975105,0.742274
2,2,40,1.612073,0.257509,0.021550,0.816327,0.975105,0.736304
2,2,41,1.652375,0.263947,0.022089,0.836735,0.975105,0.730334
2,2,42,1.692677,0.270385,0.022628,0.857143,0.975105,0.724364
2,2,43,1.732979,0.276822,0.023167,0.877551,0.975105,0.718394
2,2,44,1.773281,0.283260,0.023705,0.897959,0.975105,0.712424
2,2,45,1.813583,0.289698,0.024244,0.918367,0.975105,0.706454
2,2,46,1.853884,0.296135,0.024783,0.938776,0.975105,0.700484
2,2,47,1.894186,0.302573,0.025322,0.959184,0.975105,0.694514
2,2,48,1.934488,0.309011,0.025860,0.979592,0.975105,0.688544
2,2,49,1.974790,0.315449,0.026399,1.000000,0.975105,0.682574
3,3,0,0.000000,0.000000,0.000000,0.000000,0.950830,0.950830
3,3,1,0.038772,0.012711,0.001077,0.020408,0.950830,0.945008
3,3,2,0.077543,0.025422,0.002155,0.040816,0.950830,0.939187
3,3,3,0.116315,0.038133,0.003232,0.061224,0.950830,0.933366
3,3,4,0.155087,0.050844,0.004310,0.081633,0.950830,0.927544
3,3,5,0.193858,0.063555,0.005387,0.102041,0.950830,0.921723
3,3,6,0.232630,0.076266,0.006465,0.122449,0.950830,0.915901
