frame,x,y,z,theta,phi,purity,houdini_frame
91,-0.000000,-1.000000,0.000000,1.570796,4.712389,1.000000,91
92,0.052336,-0.998630,0.000000,1.570796,4.764749,1.000000,92
93,0.104528,-0.994522,0.000000,1.570796,4.817109,1.000000,93
94,0.156434,-0.987688,0.000000,1.570796,4.869469,1.000000,94
95,0.207912,-0.978148,0.000000,1.570796,4.921828,1.000000,95
96,0.258819,-0.965926,0.000000,1.570796,4.974188,1.000000,96
97,0.309017,-0.951057,0.000000,1.570796,5.026548,1.000000,97
98,0.358368,-0.933580,0.000000,1.570796,5.078908,1.000000,98
99,0.406737,-0.913545,0.000000,1.570796,5.131268,1.000000,99
100,0.453990,-0.891007,0.000000,1.570796,5.183628,1.000000,100
101,0.500000,-0.866025,0.000000,1.570796,5.235988,1.000000,101
102,0.544639,-0.838671,0.000000,1.570796,5.288348,1.000000,102
103,0.587785,-0.809017,0.000000,1.570796,5.340708,1.000000,103
104,0.629320,-0.777146,0.000000,1.570796,5.393067,1.000000,104
105,0.669131,-0.743145,0.000000,1.570796,5.445427,1.000000,105
106,0.707107,-0.707107,0.000000,1.570796,5.497787,1.000000,106
107,0.743145,-0.669131,0.000000,1.570796,5.550147,1.000000,107
108,0.777146,-0.629320,0.000000,1.570796,5.602507,1.000000,108
109,0.809017,-0.587785,0.000000,1.570796,5.654867,1.000000,109
110,0.838671,-0.544639,0.000000,1.570796,5.707227,1.000000,110
111,0.866025,-0.500000,0.000000,1.570796,5.759587,1.000000,111
112,0.891007,-0.453990,0.000000,1.570796,5.811946,1.000000,112
113,0.913545,-0.406737,0.000000,1.570796,5.864306,1.000000,113
114,0.933580,-0.358368,0.000000,1.570796,5.916666,1.000000,114
115,0.951057,-0.309017,0.000000,1.570796,5.969026,1.000000,115
116,0.965926,-0.258819,0.000000,1.570796,6.021386,1.000000,116
117,0.978148,-0.207912,0.000000,1.570796,6.073746,1.000000,117
118,0.987688,-0.156434,0.000000,1.570796,6.126106,1.000000,118
119,0.994522,-0.104528,0.000000,1.570796,6.178466,1.000000,119
120,0.998630,-0.052336,0.000000,1.570796,6.230825,1.000000,120
