frame,houdini_frame,x,y,z,theta,phi,purity
94,94,0.032902,0.060524,0.997624,0.068944,1.072858,0.043891
95,95,0.033568,0.057540,0.997779,0.066665,1.042687,0.042440
96,96,0.034172,0.054606,0.997923,0.064461,1.011628,0.041037
97,97,0.034713,0.051721,0.998058,0.062330,0.979682,0.039681
98,98,0.035191,0.048884,0.998184,0.060270,0.946848,0.038369
99,99,0.035603,0.046096,0.998302,0.058278,0.913127,0.037101
100,100,0.035950,0.043356,0.998413,0.056351,0.878519,0.035874
101,101,0.036228,0.040664,0.998516,0.054489,0.843023,0.034689
102,102,0.036439,0.038021,0.998612,0.052688,0.806640,0.033542
103,103,0.036581,0.035427,0.998703,0.050946,0.769370,0.032433
104,104,0.036654,0.032882,0.998787,0.049262,0.731212,0.031361
105,105,0.036658,0.030389,0.998866,0.047634,0.692166,0.030325
106,106,0.036592,0.027946,0.998939,0.046059,0.652234,0.029322
107,107,0.036456,0.025557,0.999008,0.044537,0.611414,0.028353
108,108,0.036252,0.023221,0.999073,0.043065,0.569706,0.027416
109,109,0.035978,0.020941,0.999133,0.041641,0.527111,0.026510
110,110,0.035637,0.018718,0.999189,0.040265,0.483629,0.025633
111,111,0.035229,0.016553,0.999242,0.038934,0.439259,0.024786
112,112,0.034754,0.014449,0.999291,0.037647,0.394002,0.023967
113,113,0.034214,0.012406,0.999338,0.036402,0.347858,0.023174
114,114,0.033611,0.010428,0.999381,0.035199,0.300826,0.022408
115,115,0.032946,0.008515,0.999421,0.034036,0.252907,0.021668
116,116,0.032222,0.006669,0.999458,0.032911,0.204100,0.020951
117,117,0.031439,0.004893,0.999494,0.031823,0.154406,0.020259
118,118,0.030600,0.003189,0.999527,0.030771,0.103825,0.019589
119,119,0.029708,0.001557,0.999557,0.029754,0.052356,0.018942
120,120,0.028766,0.000000,0.999586,0.028770,0.000000,0.018316
