frame,houdini_frame,x,y,z,theta,phi,purity,scale
80,80,-0.107352,0.202042,0.000000,1.570796,8.342380,0.228791,0.228791
81,81,-0.128834,0.190763,0.000000,1.570796,8.447980,0.230193,0.230193
82,82,-0.154521,0.183604,0.000000,1.570796,8.553580,0.239973,0.239973
83,83,-0.186006,0.178782,0.000000,1.570796,8.659180,0.257995,0.257995
84,84,-0.224351,0.174119,0.000000,1.570796,8.764780,0.283991,0.283991
85,85,-0.269996,0.167174,0.000000,1.570796,8.870379,0.317561,0.317561
86,86,-0.322681,0.155395,0.000000,1.570796,8.975979,0.358149,0.358149
87,87,-0.381416,0.136295,0.000000,1.570796,9.081579,0.405037,0.405037
88,88,-0.444477,0.107641,0.000000,1.570796,9.187179,0.457326,0.457326
89,89,-0.509466,0.067643,0.000000,1.570796,9.292778,0.513937,0.513937
90,90,-0.573414,0.015142,0.000000,1.570796,9.398378,0.573614,0.573614
91,91,-0.632945,-0.050234,0.000000,1.570796,9.503978,0.634936,0.634936
92,92,-0.684491,-0.127953,0.000000,1.570796,9.609578,0.696347,0.696347
93,93,-0.724536,-0.216526,0.000000,1.570796,9.715177,0.756199,0.756199
94,94,-0.749896,-0.313520,0.000000,1.570796,9.820777,0.812797,0.812797
95,95,-0.757977,-0.415660,0.000000,1.570796,9.926377,0.864467,0.864467
96,96,-0.747025,-0.519001,0.000000,1.570796,10.031977,0.909620,0.909620
97,97,-0.716304,-0.619178,0.000000,1.570796,10.137576,0.946823,0.946823
98,98,-0.666212,-0.711699,0.000000,1.570796,10.243176,0.974861,0.974861
99,99,-0.598296,-0.792271,0.000000,1.570796,10.348776,0.992800,0.992800
100,100,-0.515164,-0.857092,0.000000,1.570796,10.454376,1.000000,1.000000
101,101,-0.420390,-0.903257,0.000000,1.570796,10.559975,0.996294,0.996294
102,102,-0.318113,-0.928733,0.000000,1.570796,10.665575,0.981703,0.981703
103,103,-0.212891,-0.932738,0.000000,1.570796,10.771175,0.956725,0.956725
104,104,-0.109295,-0.915661,0.000000,1.570796,10.876775,0.922160,0.922160
105,105,-0.011604,-0.879020,0.000000,1.570796,10.982374,0.879096,0.879096
106,106,0.076477,-0.825315,0.000000,1.570796,11.087974,0.828851,0.828851
107,107,0.152037,-0.757803,0.000000,1.570796,11.193574,0.772904,0.772904
108,108,0.213104,-0.680226,0.000000,1.570796,11.299174,0.712826,0.712826
109,109,0.258700,-0.596523,0.000000,1.570796,11.404773,0.650204,0.650204
110,110,0.288807,-0.510551,0.000000,1.570796,11.510373,0.586576,0.586576
111,111,0.304265,-0.425837,0.000000,1.570796,11.615973,0.523368,0.523368
112,112,0.306613,-0.345387,0.000000,1.570796,11.721573,0.461848,0.461848
113,113,0.297884,-0.271558,0.000000,1.570796,11.827172,0.403086,0.403086
114,114,0.280406,-0.205998,0.000000,1.570796,11.932772,0.347941,0.347941
115,115,0.256592,-0.149653,0.000000,1.570796,12.038372,0.297044,0.297044
116,116,0.228766,-0.102820,0.000000,1.570796,12.143972,0.250810,0.250810
117,117,0.199026,-0.065249,0.000000,1.570796,12.249571,0.209448,0.209448
118,118,0.169145,-0.036264,0.000000,1.570796,12.355171,0.172988,0.172988
119,119,0.140520,-0.014894,0.000000,1.570796,12.460771,0.141307,0.141307
120,120,0.114162,-0.000000,0.000000,1.570796,12.566371,0.114162,0.114162
