frame,houdini_frame,x,y,z,theta,phi,purity
93,93,0.400253,0.000000,-0.916405,2.729799,0.000000,1.000000
94,94,0.374980,0.000000,-0.927033,2.757217,0.000000,1.000000
95,95,0.350127,0.000000,-0.936702,2.783886,0.000000,1.000000
96,96,0.325755,0.000000,-0.945454,2.809782,0.000000,1.000000
97,97,0.301922,0.000000,-0.953333,2.834885,0.000000,1.000000
98,98,0.278683,0.000000,-0.960383,2.859171,0.000000,1.000000
99,99,0.256090,0.000000,-0.966653,2.882617,0.000000,1.000000
100,100,0.234194,0.000000,-0.972190,2.905203,0.000000,1.000000
101,101,0.213042,0.000000,-0.977043,2.926905,0.000000,1.000000
102,102,0.192679,0.000000,-0.981262,2.947701,0.000000,1.000000
103,103,0.173147,0.000000,-0.984896,2.967569,0.000000,1.000000
104,104,0.154486,0.000000,-0.987995,2.986485,0.000000,1.000000
105,105,0.136734,0.000000,-0.990608,3.004429,0.000000,1.000000
106,106,0.119926,0.000000,-0.992783,3.021377,0.000000,1.000000
107,107,0.104097,0.000000,-0.994567,3.037307,0.000000,1.000000
108,108,0.089276,0.000000,-0.996007,3.052197,0.000000,1.000000
109,109,0.075496,0.000000,-0.997146,3.066024,0.000000,1.000000
110,110,0.062785,0.000000,-0.998027,3.078767,0.000000,1.000000
111,111,0.051169,0.000000,-0.998690,3.090402,0.000000,1.000000
112,112,0.040675,0.000000,-0.999172,3.100907,0.000000,1.000000
113,113,0.031328,0.000000,-0.999509,3.110260,0.000000,1.000000
114,114,0.023152,0.000000,-0.999732,3.118438,0.000000,1.000000
115,115,0.016172,0.000000,-0.999869,3.125420,0.000000,1.000000
116,116,0.010410,0.000000,-0.999946,3.131183,0.000000,1.000000
117,117,0.005889,0.000000,-0.999983,3.135703,0.000000,1.000000
118,118,0.002632,0.000000,-0.999997,3.138960,0.000000,1.000000
119,119,0.000662,0.000000,-1.000000,3.140931,0.000000,1.000000
120,120,0.000000,0.000000,-1.000000,3.141593,0.000000,1.000000
